#{"t_start": 1753533662.850664, "env_id": "None"}
r,l,t
-159.887392,99,1363.512989
-157.676614,98,1364.766334
-188.761176,91,1365.959756
-68.175581,115,1367.481612
-185.373639,98,1368.784343
-132.781441,90,1369.960075
-157.481776,86,1371.129795
-176.545086,89,1372.353988
-76.821737,107,1373.808054
-184.913368,99,1375.190373
-183.536823,94,1376.481024
-183.090602,100,1377.832307
-169.658483,92,1379.080762
-143.021266,93,1380.280777
-195.199641,88,1381.486713
-180.255847,94,1382.716873
-146.537902,92,1383.94109
-174.373958,90,1385.128639
-161.475865,94,1386.371354
-169.409983,89,1387.577892
-159.041906,89,1391.038011
-134.646736,86,1392.116403
-151.560686,94,1393.309983
-172.508037,90,1394.48628
-181.166541,89,1395.619079
-54.929368,98,1396.903852
-172.697255,88,1398.091985
-147.648861,86,1399.304072
-154.323417,91,1400.534217
-159.982816,94,1401.849709
-149.3416,88,1403.0673
-147.481267,88,1404.285216
-194.980857,94,1405.563973
-132.031068,87,1406.800707
-144.727365,87,1407.989392
-164.144264,90,1409.255568
-163.344285,86,1410.418616
-172.762226,88,1411.612539
-139.912385,89,1412.800248
-174.855655,95,1414.018202
-194.089719,94,1415.285071
-140.537456,93,1416.533243
-143.992097,91,1417.757493
-145.414245,93,1421.394041
-197.696914,99,1422.654647
-143.932475,90,1423.830253
-187.157316,91,1425.005824
-202.156052,103,1426.375243
-174.629015,93,1427.581334
-130.991562,94,1428.841618
-170.180746,93,1430.133444
-137.802991,95,1431.460115
-161.455288,91,1432.678118
-149.307951,91,1433.921166
-183.661571,96,1435.229637
-144.823128,102,1436.654823
-204.011396,118,1438.283841
-140.211366,93,1439.550364
-148.928495,87,1440.708059
-162.341959,89,1441.931958
-146.680794,105,1443.344068
-138.950651,89,1444.532522
-142.24861,90,1445.799082
-162.898646,94,1447.065657
-194.480901,93,1448.326275
-159.258634,88,1451.88367
-140.408186,87,1452.974635
-159.041632,89,1454.125869
-129.310384,93,1455.392164
-153.637175,90,1456.574407
-163.517783,97,1457.834908
-133.125777,88,1459.004199
-160.952392,90,1460.204871
-172.150457,88,1461.397756
-52.048611,108,1462.816403
-166.234776,95,1464.113278
-148.487697,88,1465.276291
-39.551764,96,1466.512591
-160.309074,106,1467.888597
-138.746082,104,1469.289268
-152.593311,87,1470.416159
-137.656033,90,1471.640078
-175.041604,104,1473.040015
-166.610784,90,1474.276272
-142.701439,93,1475.52487
-154.892369,91,1476.724514
-146.775903,93,1477.978884
-149.118079,102,1481.567233
-145.711773,96,1482.797603
-149.212984,89,1483.930421
-156.45518,94,1485.160983
-58.134364,100,1486.511937
-153.686539,94,1487.742672
-159.773018,98,1489.075669
-133.086523,89,1490.24488
-175.345233,89,1491.457393
-147.133454,90,1492.681227
-150.524598,88,1493.880548
-146.489855,92,1495.123817
-145.786183,98,1496.469956
-143.979217,98,1497.802654
-61.092705,108,1499.250948
-39.923012,105,1500.687423
-143.641518,91,1501.978318
-159.392744,90,1503.232696
-128.672409,91,1504.536078
-158.767334,98,1505.911309
-139.923887,87,1507.159499
-58.513586,104,1510.959311
-149.347917,93,1512.153368
-141.548208,87,1513.29285
-158.68167,92,1514.486298
-139.845802,92,1515.716671
-166.686773,90,1516.995237
-150.619819,89,1518.297976
-166.999677,96,1519.547327
-146.377024,96,1520.880114
-158.264673,98,1522.268157
-152.256422,94,1523.576825
-52.668233,98,1525.00078
-130.234945,87,1526.212672
-145.731046,90,1527.528422
-157.53323,89,1528.728784
-153.665348,91,1530.031417
-154.189894,89,1531.333635
-172.516884,94,1532.692265
-169.199817,103,1534.121468
-57.614143,101,1535.509933
-46.181862,100,1536.872342
-205.130164,122,1538.545973
-35.723801,97,1542.194513
-148.531099,96,1543.418923
-138.947327,92,1544.588034
-151.127101,107,1545.988227
-40.606248,96,1547.309307
-160.928292,91,1548.527753
-124.292474,87,1549.696501
-55.127119,96,1550.970146
-134.564959,103,1552.399606
-138.268883,91,1553.61815
-58.983718,96,1554.963513
-145.583184,89,1556.193942
-150.699456,97,1557.533092
-47.959514,98,1558.902169
-163.163656,95,1560.17527
-152.276836,96,1561.4603
-129.864011,87,1562.672009
-123.265535,87,1563.87853
-134.482466,91,1565.187475
-147.800157,89,1566.35738
-39.358801,103,1567.787149
-144.480479,90,1571.508123
-51.086327,104,1572.829508
-134.611201,90,1573.992893
-142.180331,91,1575.204555
-145.357716,89,1576.404961
-153.064228,93,1577.659701
-149.142635,89,1578.853871
-151.028792,90,1580.101927
-135.23526,91,1581.349989
-134.969167,91,1582.574389
-54.364199,98,1583.889219
-156.817631,98,1585.265274
-149.999419,100,1586.580216
-142.426746,104,1588.052883
-148.505248,88,1589.27099
-51.035993,102,1590.646613
-151.028396,91,1591.925297
-130.533978,86,1593.106923
-162.723125,91,1594.362311
-137.398403,98,1595.744529
-143.891476,92,1597.003863
-147.309555,91,1598.276467
-138.572778,91,1602.021954
-144.358425,91,1603.204147
-135.465335,89,1604.373818
-147.066603,90,1605.57315
-131.844674,92,1606.815239
-144.066367,88,1608.064008
-182.059664,92,1609.31217
-136.08317,97,1610.749171
-156.002183,92,1612.154683
-148.482001,88,1613.403375
-167.414617,96,1614.760687
-152.601879,87,1616.040066
-65.110307,103,1617.481304
-126.121813,92,1618.815266
-160.525509,93,1620.159287
-56.152436,98,1621.536527
-152.966289,95,1622.948131
-131.344622,89,1624.257461
-143.94921,103,1625.674978
-146.28321,90,1626.930187
-151.495918,101,1628.299476
-175.833183,93,1629.590413
-141.402657,89,1633.244329
-153.750747,98,1634.487187
-139.750421,101,1635.832156
-149.055129,98,1637.141279
-151.974437,99,1638.462149
-131.764036,88,1639.627246
-140.911715,86,1640.777689
-42.641753,99,1642.135761
-145.747508,98,1643.450533
-51.936316,98,1644.862251
-138.682433,89,1646.11086
-136.255306,86,1647.286665
-147.466909,110,1648.813722
-161.279148,98,1650.146361
